barcode	library3_4
1	E1A.21
2	E1A.22
3	E1A.23
4	E1A.24
5	E1A.25
6	E1A.26
7	E1A.27
8	E1A.28
9	E1B.21
10	E1B.22
11	E1B.23
12	E1B.24
13	E1B.25
14	E1B.26
15	E1B.27
16	E1B.28
17	E1C.21
18	E1C.22
19	E1C.23
20	E1C.24
21	E1C.25
22	E1C.26
23	E1C.27
24	E1C.28
25	E1A.29
26	E1A.30
27	E1B.29
28	E1B.30
29	E1C.29
30	E1C.30
31	U1O.05
32	U1O.06
33	E2A.21
34	E2A.22
35	E2A.23
36	E2A.24
37	E2A.25
38	E2A.26
39	E2A.27
40	E2A.28
41	E2B.21
42	E2B.22
43	E2B.23
44	E2B.24
45	E2B.25
46	E2B.26
47	U2B.27
48	E2B.28
49	E2C.21
50	E2C.22
51	E2C.23
52	E2C.24
53	E2C.25
54	E2C.26
55	E2C.27
56	E2C.28
57	E2A.29
58	E2A.30
59	U2B.29
60	E2B.30
61	E2C.29
62	E2C.30
63	U2O.05
64	U2O.06
65	E3A.21
66	E3A.22
67	U3A.23
68	E3A.24
69	E3A.25
70	E3A.26
71	E3A.27
72	E3A.28
73	E3B.21
74	E3B.22
75	E3B.23
76	E3B.24
77	E3B.25
78	E3B.26
79	E3B.27
80	E3B.28
81	E3C.21
82	E3C.22
83	E3C.23
84	E3C.24
85	E3C.25
86	E3C.26
87	E3C.27
88	E3C.28
89	E3A.29
90	E3A.30
91	E3B.29
92	E3B.30
93	E3C.29
94	E3C.30
95	U3O.05
96	U3O.06
97	E1A.31
98	E1A.32
99	E1A.33
100	E1A.34
101	E1A.35
102	E1A.36
103	E1A.37
104	E1A.38
105	E1B.31
106	E1B.32
107	E1B.33
108	E1B.34
109	E1B.35
110	E1B.36
111	U1B.37
112	E1B.38
113	E1C.31
114	E1C.32
115	E1C.33
116	E1C.34
117	E1C.35
118	E1C.36
119	E1C.37
120	E1C.38
121	E1A.39
122	E1A.40
123	E1B.39
124	E1B.40
125	E1C.39
126	E1C.40
127	U1O.07
128	U1O.08
129	E2A.31
130	E2A.32
131	E2A.33
132	E2A.34
133	E2A.35
134	E2A.36
135	E2A.37
136	E2A.38
137	E2B.31
138	E2B.32
139	E2B.33
140	E2B.34
141	E2B.35
142	E2B.36
143	E2B.37
144	E2B.38
145	E2C.31
146	E2C.32
147	E2C.33
148	E2C.34
149	E2C.35
150	E2C.36
151	E2C.37
152	E2C.38
153	E2A.39
154	E2A.40
155	E2B.39
156	U2B.40
157	E2C.39
158	E2C.40
159	U2O.07
160	U2O.08
161	E3A.31
162	E3A.32
163	E3A.33
164	E3A.34
165	E3A.35
166	E3A.36
167	E3A.37
168	E3A.38
169	E3B.31
170	E3B.32
171	E3B.33
172	E3B.34
173	E3B.35
174	E3B.36
175	E3B.37
176	E3B.38
177	E3C.31
178	E3C.32
179	E3C.33
180	E3C.34
181	E3C.35
182	E3C.36
183	E3C.37
184	E3C.38
185	E3A.39
186	E3A.40
187	E3B.39
188	E3B.40
189	E3C.39
190	E3C.40
191	U3O.07
192	U3O.08
